ticker,name,sector,sub_industry
OTIS,OTIS WORLDWIDE CORP,Industrials,Specialty Industrial Machinery
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Oil & Gas E&P
PANW,PALO ALTO NETWORKS INC,Technology,Software - Infrastructure
PAYX,PAYCHEX INC,Technology,Software - Application
PCAR,PACCAR INC,Industrials,Farm & Heavy Construction Machinery
PCG,P G + E CORP,Utilities,Utilities - Regulated Electric
PEG,PUBLIC SERVICE ENTERPRISE GP,Utilities,Utilities - Regulated Electric
PEP,PEPSICO INC,Consumer Defensive,Beverages - Non-Alcoholic
PFE,PFIZER INC,Healthcare,Drug Manufacturers - General
PFG,PRINCIPAL FINANCIAL GROUP,Financial Services,Asset Management
PG,PROCTER + GAMBLE CO/THE,Consumer Defensive,Household & Personal Products
PGR,PROGRESSIVE CORP,Financial Services,Insurance - Property & Casualty
PH,PARKER HANNIFIN CORP,Industrials,Specialty Industrial Machinery
PHM,PULTEGROUP INC,Consumer Cyclical,Residential Construction
PKG,PACKAGING CORP OF AMERICA,Consumer Cyclical,Packaging & Containers
PLD,PROLOGIS INC,Real Estate,REIT - Industrial
PLTR,PALANTIR TECHNOLOGIES INC A,Technology,Software - Infrastructure
PM,PHILIP MORRIS INTERNATIONAL,Consumer Defensive,Tobacco
PNC,PNC FINANCIAL SERVICES GROUP,Financial Services,Banks - Regional
PNR,PENTAIR PLC,Industrials,Specialty Industrial Machinery
PNW,PINNACLE WEST CAPITAL,Utilities,Utilities - Regulated Electric
PODD,INSULET CORP,Healthcare,Medical Devices
PPG,PPG INDUSTRIES INC,Basic Materials,Specialty Chemicals
PPL,PPL CORP,Utilities,Utilities - Regulated Electric
PRU,PRUDENTIAL FINANCIAL INC,Financial Services,Insurance - Life
PSA,PUBLIC STORAGE,Real Estate,REIT - Industrial
PSKY,PARAMOUNT SKYDANCE CL B,Communication Services,Entertainment
PSX,PHILLIPS 66,Energy,Oil & Gas Refining & Marketing
PTC,PTC INC,Technology,Software - Application
PWR,QUANTA SERVICES INC,Industrials,Engineering & Construction
PYPL,PAYPAL HOLDINGS INC,Financial Services,Credit Services
Q,QNITY ELECTRONICS INC,Technology,Semiconductor Equipment & Materials
QCOM,QUALCOMM INC,Technology,Semiconductors
RCL,ROYAL CARIBBEAN CRUISES LTD,Consumer Cyclical,Travel Services
RDDT,REDDIT INC CL A,Communication Services,Internet Content & Information
REG,REGENCY CENTERS CORP,Real Estate,REIT - Retail
REGN,REGENERON PHARMACEUTICALS,Healthcare,Biotechnology
RF,REGIONS FINANCIAL CORP,Financial Services,Banks - Regional
RJF,RAYMOND JAMES FINANCIAL INC,Financial Services,Asset Management
RL,RALPH LAUREN CORP,Consumer Cyclical,Apparel Manufacturing
RMD,RESMED INC,Healthcare,Medical Instruments & Supplies
ROK,ROCKWELL AUTOMATION INC,Industrials,Specialty Industrial Machinery
ROL,ROLLINS INC,Consumer Cyclical,Personal Services
ROP,ROPER TECHNOLOGIES INC,Technology,Software - Application
ROST,ROSS STORES INC,Consumer Cyclical,Apparel Retail
RSG,REPUBLIC SERVICES INC,Industrials,Waste Management
RTX,RTX CORP,Industrials,Aerospace & Defense
RVTY,REVVITY INC,Healthcare,Diagnostics & Research
SBAC,SBA COMMUNICATIONS CORP,Real Estate,REIT - Specialty
SBUX,STARBUCKS CORP,Consumer Cyclical,Restaurants
SCHW,SCHWAB (CHARLES) CORP,Financial Services,Capital Markets
SHW,SHERWIN WILLIAMS CO/THE,Basic Materials,Specialty Chemicals
SJM,JM SMUCKER CO/THE,Consumer Defensive,Packaged Foods
SLB,SLB LTD,Energy,Oil & Gas Equipment & Services
SMCI,SUPER MICRO COMPUTER INC,Technology,Computer Hardware
SNA,SNAP ON INC,Industrials,Tools & Accessories
SNDK,SANDISK CORP,Technology,Computer Hardware
SNPS,SYNOPSYS INC,Technology,Software - Infrastructure
SO,SOUTHERN CO/THE,Utilities,Utilities - Regulated Electric
SOLV,SOLVENTUM CORP,Healthcare,Medical Instruments & Supplies
SPG,SIMON PROPERTY GROUP INC,Real Estate,REIT - Retail
SPGI,S+P GLOBAL INC,Financial Services,Financial Data & Stock Exchanges
SRE,SEMPRA,Utilities,Utilities - Diversified
STE,STERIS PLC,Healthcare,Medical Devices
STLD,STEEL DYNAMICS INC,Basic Materials,Steel
STT,STATE STREET CORP,Financial Services,Asset Management
STX,SEAGATE TECHNOLOGY HOLDINGS,Technology,Computer Hardware
STZ,CONSTELLATION BRANDS INC A,Consumer Defensive,Beverages - Brewers
SW,SMURFIT WESTROCK PLC,Consumer Cyclical,Packaging & Containers
SWK,STANLEY BLACK + DECKER INC,Industrials,Tools & Accessories
SWKS,SKYWORKS SOLUTIONS INC,Technology,Semiconductors
SYF,SYNCHRONY FINANCIAL,Financial Services,Credit Services
SYK,STRYKER CORP,Healthcare,Medical Devices
SYY,SYSCO CORP,Consumer Defensive,Food Distribution
T,AT+T INC,Communication Services,Telecom Services
TAP,MOLSON COORS BEVERAGE CO   B,Consumer Defensive,Beverages - Brewers
TDG,TRANSDIGM GROUP INC,Industrials,Aerospace & Defense
TDY,TELEDYNE TECHNOLOGIES INC,Technology,Scientific & Technical Instruments
TECH,BIO TECHNE CORP,Healthcare,Biotechnology
TEL,TE CONNECTIVITY PLC,Technology,Electronic Components
TER,TERADYNE INC,Technology,Semiconductor Equipment & Materials
TFC,TRUIST FINANCIAL CORP,Financial Services,Banks - Regional
TGT,TARGET CORP,Consumer Defensive,Discount Stores
TJX,TJX COMPANIES INC,Consumer Cyclical,Apparel Retail
TKO,TKO GROUP HOLDINGS INC,Communication Services,Entertainment
TMO,THERMO FISHER SCIENTIFIC INC,Healthcare,Diagnostics & Research
TMUS,T MOBILE US INC,Communication Services,Telecom Services
TPL,TEXAS PACIFIC LAND CORP,Energy,Oil & Gas E&P
TPR,TAPESTRY INC,Consumer Cyclical,Luxury Goods
TRGP,TARGA RESOURCES CORP,Energy,Oil & Gas Midstream
TRMB,TRIMBLE INC,Technology,Scientific & Technical Instruments
TROW,T ROWE PRICE GROUP INC,Financial Services,Asset Management
TRV,TRAVELERS COS INC/THE,Financial Services,Insurance - Property & Casualty
TSCO,TRACTOR SUPPLY COMPANY,Consumer Cyclical,Specialty Retail
TSLA,TESLA INC,Consumer Cyclical,Auto Manufacturers
TSN,TYSON FOODS INC CL A,Consumer Defensive,Farm Products
TT,TRANE TECHNOLOGIES PLC,Industrials,Building Products & Equipment
TTD,TRADE DESK INC/THE  CLASS A,Communication Services,Advertising Agencies
TTWO,TAKE TWO INTERACTIVE SOFTWRE,Communication Services,Electronic Gaming & Multimedia
TXN,TEXAS INSTRUMENTS INC,Technology,Semiconductors
TXT,TEXTRON INC,Industrials,Aerospace & Defense
TYL,TYLER TECHNOLOGIES INC,Technology,Software - Application
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Airlines
UBER,UBER TECHNOLOGIES INC,Technology,Software - Application
UDR,UDR INC,Real Estate,REIT - Residential
UHS,UNIVERSAL HEALTH SERVICES B,Healthcare,Medical Care Facilities
ULTA,ULTA BEAUTY INC,Consumer Cyclical,Specialty Retail
UNH,UNITEDHEALTH GROUP INC,Healthcare,Healthcare Plans
UNP,UNION PACIFIC CORP,Industrials,Railroads
UPS,UNITED PARCEL SERVICE CL B,Industrials,Integrated Freight & Logistics
URI,UNITED RENTALS INC,Industrials,Rental & Leasing Services
USB,US BANCORP,Financial Services,Banks - Regional
V,VISA INC CLASS A SHARES,Financial Services,Credit Services
VEEV,VEEVA SYSTEMS INC CLASS A,Healthcare,Health Information Services
VICI,VICI PROPERTIES INC,Real Estate,REIT - Diversified
VLO,VALERO ENERGY CORP,Energy,Oil & Gas Refining & Marketing
VLTO,VERALTO CORP,Industrials,Pollution & Treatment Controls
VMC,VULCAN MATERIALS CO,Basic Materials,Building Materials
VMRK,VIVMARK RESIDENTIAL,Real Estate,REIT - Residential
VRSK,VERISK ANALYTICS INC,Industrials,Consulting Services
VRSN,VERISIGN INC,Technology,Software - Infrastructure
VRT,VERTIV HOLDINGS CO A,Industrials,Electrical Equipment & Parts
VRTX,VERTEX PHARMACEUTICALS INC,Healthcare,Biotechnology
VST,VISTRA CORP,Utilities,Utilities - Independent Power Producers
VTR,VENTAS INC,Real Estate,REIT - Healthcare Facilities
VTRS,VIATRIS INC,Healthcare,Drug Manufacturers - Specialty & Generic
VZ,VERIZON COMMUNICATIONS INC,Communication Services,Telecom Services
WAB,WABTEC CORP,Industrials,Railroads
WAT,WATERS CORP,Healthcare,Diagnostics & Research
WBD,WARNER BROS DISCOVERY INC,Communication Services,Entertainment
WDAY,WORKDAY INC CLASS A,Technology,Software - Application
WDC,WESTERN DIGITAL CORP,Technology,Computer Hardware
WEC,WEC ENERGY GROUP INC,Utilities,Utilities - Regulated Electric
WELL,WELLTOWER INC,Real Estate,REIT - Healthcare Facilities
WFC,WELLS FARGO + CO,Financial Services,Banks - Diversified
WM,WASTE MANAGEMENT INC,Industrials,Waste Management
WMB,WILLIAMS COS INC,Energy,Oil & Gas Midstream
WMT,WALMART INC,Consumer Defensive,Discount Stores
WRB,WR BERKLEY CORP,Financial Services,Insurance - Property & Casualty
WSM,WILLIAMS SONOMA INC,Consumer Cyclical,Specialty Retail
WST,WEST PHARMACEUTICAL SERVICES,Healthcare,Medical Instruments & Supplies
WTW,WILLIS TOWERS WATSON PLC,Financial Services,Insurance Brokers
WY,WEYERHAEUSER CO,Real Estate,REIT - Specialty
WYNN,WYNN RESORTS LTD,Consumer Cyclical,Resorts & Casinos
XEL,XCEL ENERGY INC,Utilities,Utilities - Regulated Electric
XOM,EXXONMOBIL HOLDINGS CORP,Energy,Oil & Gas Integrated
XYL,XYLEM INC,Industrials,Specialty Industrial Machinery
XYZ,BLOCK INC,Technology,Software - Infrastructure
YUM,YUM  BRANDS INC,Consumer Cyclical,Restaurants
ZBH,ZIMMER BIOMET HOLDINGS INC,Healthcare,Medical Devices
ZBRA,ZEBRA TECHNOLOGIES CORP CL A,Technology,Communication Equipment
ZTS,ZOETIS INC,Healthcare,Drug Manufacturers - Specialty & Generic
